City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-7.72,78,0,6.71,RU,1730846565
1,khandyga,62.6667,135.6,-24.67,99,100,1.1,RU,1730846566
2,waitangi,-43.9535,-176.5597,12.82,91,97,3.2,NZ,1730846567
3,saint croix,17.7397,-64.7388,27.2,84,75,4.12,VI,1730846578
4,bilibino,68.0546,166.4372,-22.57,99,100,0.49,RU,1730846579
5,phongsali,21.6833,102.1058,14.72,98,93,0.32,LA,1730846580
6,sal rei,16.1833,-22.9167,25.45,79,0,7.77,CV,1730846582
7,bodaybo,57.8506,114.1933,-6.36,96,100,1.21,RU,1730846583
8,kodiak,57.79,-152.4072,6.73,70,100,5.66,US,1730846602
9,stanley,54.868,-1.6985,8.62,92,75,0.0,GB,1730846603
10,port-aux-francais,-49.35,70.2167,2.83,91,100,6.87,TF,1730846604
11,bethel,41.3712,-73.414,18.52,74,50,0.89,US,1730846605
12,udachny,66.4167,112.4,-8.38,96,100,2.45,RU,1730846606
13,constantia,44.1833,28.65,0.39,48,1,2.14,RO,1730846607
14,edinburgh of the seven seas,-37.0676,-12.3116,14.53,81,100,3.42,SH,1730846609
15,naberezhnyye chelny,55.7561,52.4289,-6.51,91,98,4.95,RU,1730846610
16,ust-nera,64.5667,143.2,-27.05,99,92,1.22,RU,1730846611
17,albany,42.6001,-73.9662,19.23,71,92,2.12,US,1730846612
18,thompson,55.7435,-97.8558,0.09,74,100,4.63,CA,1730846613
19,utrik,11.2278,169.8474,28.46,81,69,9.32,MH,1730846614
20,coquimbo,-29.9533,-71.3436,18.88,57,0,7.2,CL,1730846596
21,murzuq,25.9155,13.9184,17.52,46,0,3.47,LY,1730846617
22,acapulco de juarez,16.8634,-99.8901,29.9,79,40,2.57,MX,1730846618
23,port saint john's,-31.6229,29.5448,16.01,84,99,6.16,ZA,1730846619
24,wanning,18.8003,110.3967,22.44,89,85,4.26,CN,1730846620
25,atafu village,-8.5421,-172.5159,27.95,63,36,4.41,TK,1730846621
26,blackmans bay,-43.0167,147.3167,16.96,63,97,0.45,AU,1730846622
27,glen innes,-29.7333,151.7333,26.25,30,3,3.08,AU,1730846623
28,port augusta,-32.5,137.7667,24.3,50,69,6.78,AU,1730846624
29,ushuaia,-54.8,-68.3,3.81,87,75,6.69,AR,1730846331
30,fale old settlement,-9.3852,-171.2468,28.39,66,24,5.2,TK,1730846627
31,kalianget,-7.05,113.9333,28.43,73,80,5.64,ID,1730846629
32,taoudenni,22.6783,-3.9836,28.24,15,100,4.68,ML,1730846630
33,jinjiang,24.8198,118.5741,18.37,65,2,6.57,CN,1730846631
34,geraldton,-28.7667,114.6,16.23,82,75,2.06,AU,1730846632
35,st. john's,47.5649,-52.7093,2.86,78,75,2.06,CA,1730846633
36,alice springs,-23.7,133.8833,27.75,44,20,4.12,AU,1730846635
37,mount gambier,-37.8333,140.7667,20.22,65,100,4.72,AU,1730846636
38,georgetown,5.4112,100.3354,25.96,93,20,1.54,MY,1730846637
39,ivolginsk,51.7492,107.2837,-10.19,92,91,0.0,RU,1730846638
40,adamstown,-25.066,-130.1015,22.47,80,100,3.54,PN,1730846639
41,ouadda,8.0777,22.4007,19.96,55,8,1.68,CF,1730846640
42,badger,64.8,-147.5333,-1.67,74,75,3.09,US,1730846641
43,lerwick,60.1545,-1.1494,10.16,92,100,4.98,GB,1730846642
44,grytviken,-54.2811,-36.5092,1.84,97,96,5.73,GS,1730846643
45,sola,-13.8833,167.55,25.92,76,100,4.36,VU,1730846645
46,merritt,50.1123,-120.7942,5.88,60,60,0.72,CA,1730846646
47,summerland,49.5998,-119.6691,9.1,35,20,6.69,CA,1730846648
48,klyuchi,52.2667,79.1667,-1.13,71,70,3.36,RU,1730846649
49,savanna-la-mar,18.219,-78.1332,24.96,90,100,6.65,JM,1730846652
50,gaspe,48.8334,-64.4819,4.12,93,100,1.54,CA,1730846653
51,yellowknife,62.456,-114.3525,-3.1,100,100,2.57,CA,1730846654
52,les anglais,18.3054,-74.2197,24.17,89,100,4.42,HT,1730846655
53,lumajang,-8.1335,113.2248,24.52,87,97,0.65,ID,1730846656
54,margaret river,-33.95,115.0667,13.91,61,90,6.95,AU,1730846657
55,vacha,55.8008,42.7706,-3.98,92,100,3.36,RU,1730846658
56,puerto ayora,-0.7393,-90.3518,20.86,69,69,4.45,EC,1730846659
57,narasannapeta,18.4167,84.05,22.2,80,14,2.21,IN,1730846660
58,bandon,51.7469,-8.7425,14.77,99,98,2.24,IE,1730846662
59,jamestown,42.097,-79.2353,22.8,49,0,6.69,US,1730846663
60,fort abbas,29.1925,72.8536,25.03,27,0,2.09,PK,1730846664
61,ilulissat,69.2167,-51.1,-9.99,73,98,0.51,GL,1730846619
62,petawawa,45.9001,-77.3328,12.77,100,100,2.06,CA,1730846666
